username,rank,track_name,artist
emosoup,1,A Kindness,Sorcerer
emosoup,2,Badlands,Sorcerer
emosoup,3,Devotion,Sorcerer
emosoup,4,Fortress,Sorcerer
emosoup,5,In the Arms of Mortality,Sorcerer
emosoup,6,Someone Else's Skin,Sorcerer
emosoup,7,The Bell Jar,Sorcerer
emosoup,8,The Eternal Grief,Sorcerer
emosoup,9,Carbonized,Northlane
emosoup,10,Abomination,Northlane
riddy_pr,1,Daylight Robbery,Imogen Heap
riddy_pr,2,bloodonmyhands (feat. Flo Milli),"Tate McRae, Flo Milli"
riddy_pr,3,The ITS Way,Aesop Rock
riddy_pr,4,Once,Pearl Jam
riddy_pr,5,bloodonmyhands (feat. Flo Milli),Tate McRae
riddy_pr,6,All These Nights,Tom Grennan
riddy_pr,7,100 Feet Tall,Aesop Rock
riddy_pr,8,Aggressive Steven,Aesop Rock
riddy_pr,9,Checkers,Aesop Rock
riddy_pr,10,Tiny Indoor Fireworks,Biffy Clyro
TheGirlNamedSig,1,Bye Bye Bye - From Deadpool and Wolverine Soundtrack,*NSYNC
TheGirlNamedSig,2,Boom Boom Pow,Black Eyed Peas
TheGirlNamedSig,3,Don't Go (feat. Lights),Bring Me the Horizon
TheGirlNamedSig,4,"Jumpin', Jumpin'",Destiny's Child
TheGirlNamedSig,5,Ni**as in Paris,JAY-Z
TheGirlNamedSig,6,Killdozer,Kim Dracula
TheGirlNamedSig,7,Bad Girls,M.I.A.
TheGirlNamedSig,8,"FUCKED OVER (feat. phem, Tosh the Drummer and Belmont) - BELMONT REMIX",93FEETOFSMOKE
TheGirlNamedSig,9,All Bite,Belmont
TheGirlNamedSig,10,Day by Day,Belmont
eventually_,1,Stars,Hum
eventually_,2,Overstepping,Belmont
eventually_,3,Hovel,Ghost Mountain
eventually_,4,Follow And Feel,Saosin
eventually_,5,You're Not Alone,Saosin
eventually_,6,Medicate,Breaking Benjamin
eventually_,7,Natural Life,Breaking Benjamin
eventually_,8,Next To Nothing,Breaking Benjamin
eventually_,9,Polyamorous,Breaking Benjamin
eventually_,10,Skin,Breaking Benjamin
DudeBro231,1,GUIDE DOG,Quadeca
DudeBro231,2,Sadness As A Gift,Adrianne Lenker
DudeBro231,3,Fool,Adrianne Lenker
DudeBro231,4,by birthright,glaive
DudeBro231,5,"911 (From the TV Show ""The Rookie"")",Zander Hawley
DudeBro231,6,mileys riddim,Jim Legxacy
DudeBro231,7,Carry You,Novo Amor
DudeBro231,8,maude apatow,Cottonwood Firing Squad
DudeBro231,9,Embody Me,Novo Amor
DudeBro231,10,Halloween,Novo Amor
Brotendo,1,Chucky vs. The Giant Tortoise,Dance Gavin Dance
Brotendo,2,Frozen One,Dance Gavin Dance
Brotendo,3,Young Robot,Dance Gavin Dance
Brotendo,4,Deception,Dance Gavin Dance
Brotendo,5,Flossie Dickey Bounce,Dance Gavin Dance
Brotendo,6,Inspire the Liars,Dance Gavin Dance
Brotendo,7,Philosopher King,Dance Gavin Dance
Brotendo,8,Here Comes The Winner,Dance Gavin Dance
Brotendo,9,Something New,Dance Gavin Dance
Brotendo,10,"Stroke God, Millionaire",Dance Gavin Dance
EnslaverOfStars,1,She Never Noticed Me,Vehemence
EnslaverOfStars,2,Like a Stone,Audioslave
EnslaverOfStars,3,ash,LE SSERAFIM
EnslaverOfStars,4,Right Round,Flo Rida
EnslaverOfStars,5,The Crucified Ones,Vader
EnslaverOfStars,6,Metalingus,Alter Bridge
EnslaverOfStars,7,Starman - 2012 Remaster,David Bowie
EnslaverOfStars,8,Watch the Corners,Dinosaur Jr.
EnslaverOfStars,9,And She Was - 2005 Remaster,Talking Heads
EnslaverOfStars,10,Decapitated Saints,Vader
catyeliz,1,Titanic,Earl Sweatshirt
catyeliz,2,Eugene,Sufjan Stevens
catyeliz,3,Demons,A$AP Rocky
catyeliz,4,Peso,A$AP Rocky
catyeliz,5,2010,Earl Sweatshirt
catyeliz,6,solace,Earl Sweatshirt
catyeliz,7,I'm God,Lil B
catyeliz,8,All of Me Wants All of You,Sufjan Stevens
catyeliz,9,Death With Dignity,Sufjan Stevens
catyeliz,10,Drawn to the Blood,Sufjan Stevens
IsaiahBolly,1,Mega Circuit,Japanese Breakfast
IsaiahBolly,2,LIKE WEEZY,Playboi Carti
IsaiahBolly,3,The Sweet Escape,Gwen Stefani
IsaiahBolly,4,Everybody Wants To Love You,Japanese Breakfast
IsaiahBolly,5,Butter,A Tribe Called Quest
IsaiahBolly,6,Verses From The Abstract (feat. Vinia Mojica & Ron Carter),A Tribe Called Quest
IsaiahBolly,7,Are You That Somebody,Aaliyah
IsaiahBolly,8,Wishing Bad,Armand Hammer
IsaiahBolly,9,New Beginning,Automatic
IsaiahBolly,10,Cables,Big Black
augustgaukstad,1,1080p_,*teeth
augustgaukstad,2,Cowgirl,FiLLy
augustgaukstad,3,Time Of Our Lives,Gen Lefenix
augustgaukstad,4,K.A.S.S.I.E.,Kassie Krut
augustgaukstad,5,ANDY,Skrillex
augustgaukstad,6,GULAB XX,Skrillex
augustgaukstad,7,ZEET NOISE,Skrillex
augustgaukstad,8,Transdimensional,TAAHLIAH
augustgaukstad,9,One Trick Pony,Ally Evenson
augustgaukstad,10,Yummy - Righteous Remix,Ayesha Erotica
dealz71,1,MUTT,Leon Thomas
dealz71,2,ANSWER YOUR PHONE,Leon Thomas
dealz71,3,DANCING WITH DEMONS,Leon Thomas
dealz71,4,Far Fetched,Leon Thomas
dealz71,5,FEELINGS ON SILENT,Leon Thomas
dealz71,6,HOW FAST,Leon Thomas
dealz71,7,I DO,Leon Thomas
dealz71,8,I USED TO,Leon Thomas
dealz71,9,LUCID DREAMS,Leon Thomas
dealz71,10,MUTT (Remix),Leon Thomas
jazzykl,1,Belly of the Beast,Combust
jazzykl,2,Fear in the Streets,Combust
jazzykl,3,N.Y.H.C.,Combust
jazzykl,4,Swallowing Swords,Combust
jazzykl,5,Truth Hurts,Combust
jazzykl,6,Atlas,Combust
jazzykl,7,Distorted Dreams,Combust
jazzykl,8,Everyone's Enemy,Combust
jazzykl,9,Our Own Breed,Combust
jazzykl,10,Paid with Pain,Combust
boracanik,2,It's OK I'm OK,Tate McRae
boracanik,3,Twilight Zone,Ariana Grande
boracanik,4,Warm,Ariana Grande
boracanik,6,Dandelion,Ariana Grande
boracanik,7,intro (end of the world) - extended,Ariana Grande
boracanik,8,Sadece,Kalben
boracanik,9,Feather,Sabrina Carpenter
Atrvlrhasnoname,1,FUNK DO BOUNCE (Slowed),ariis
Atrvlrhasnoname,2,Back to Black,Amy Winehouse
Atrvlrhasnoname,3,Richer (feat. Polo G),Rod Wave
Atrvlrhasnoname,4,TANG0 (Tango Parodia),SE VOGLIO
Atrvlrhasnoname,5,"Bad, Bad Man (Feat. Bumpy Knuckles)",WWE
Atrvlrhasnoname,6,Hystereo,Armin van Buuren
Atrvlrhasnoname,7,Snowblind,Au5
Atrvlrhasnoname,8,33 Max Verstappen,Carte Blanq
Atrvlrhasnoname,9,Mother,Danzig
Atrvlrhasnoname,10,They Say,Daron Malakian and Scars on Broadway
stanley2029,1,The Incubus Mark (CXCVII),goreshit
stanley2029,2,All That,Carly Rae Jepsen
stanley2029,3,Black Heart,Carly Rae Jepsen
stanley2029,4,Body Language,Carly Rae Jepsen
stanley2029,5,Boy Problems,Carly Rae Jepsen
stanley2029,6,Cry,Carly Rae Jepsen
stanley2029,7,Cut to the Feeling,Carly Rae Jepsen
stanley2029,8,Emotion,Carly Rae Jepsen
stanley2029,9,Favourite Colour,Carly Rae Jepsen
stanley2029,10,Fever,Carly Rae Jepsen
Crankeedoo,1,Love Minus Zero,Bob Dylan
Crankeedoo,2,Royal and Desire,Animal Collective
Crankeedoo,3,Black Diamond Bay,Bob Dylan
Crankeedoo,4,Sara,Bob Dylan
Crankeedoo,5,Run Through the Jungle,Creedence Clearwater Revival
Crankeedoo,6,My Bucket's Got a Hole in It,Hank Williams
Crankeedoo,7,Love Me or Leave Me (2013 - Remaster),Nina Simone
Crankeedoo,8,You'll Never Walk Alone (2013 - Remaster),Nina Simone
Crankeedoo,9,The Creator Has A Master Plan,Pharoah Sanders
Crankeedoo,10,Next Time Might Be Your Time,"""Blue"" Gene Tyranny"
owllover23,1,Dandelion,Ariana Grande
owllover23,2,past life,Ariana Grande
owllover23,3,Warm,Ariana Grande
owllover23,4,JOYRIDE.,Kesha
owllover23,5,1 Sun,Miley Cyrus
owllover23,6,Blade Bird,Oklou
owllover23,7,Fast Times,Sabrina Carpenter
