username,rank,track_name,artist
boracanik,5,Sunset Blvd,Selena Gomez
boracanik,6,Sports car,Tate McRae
boracanik,7,Acının İlacı,Adamlar
boracanik,8,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",Benny Blanco
boracanik,9,Denize Bıraksam,Göksel
boracanik,10,Son Defa,GÜNEŞ
Atrvlrhasnoname,1,Donaukinder,Rammstein
Atrvlrhasnoname,2,TANG0 (Tango Parodia),SE VOGLIO
Atrvlrhasnoname,3,"Bad, Bad Man (Feat. Bumpy Knuckles)",WWE
Atrvlrhasnoname,4,Me Porto Bonito,Bad Bunny
Atrvlrhasnoname,5,Miss You - Sped Up Version,Oliver Tree
Atrvlrhasnoname,6,Richer (feat. Polo G),Rod Wave
Atrvlrhasnoname,7,If God Knew,Savant
Atrvlrhasnoname,8,DERNIERE DANCE FUNK,ZODIVK
Atrvlrhasnoname,9,1741 (The Battle of Cartagena),Alestorm
Atrvlrhasnoname,10,Afterlife,Avenged Sevenfold
stanley2029,1,Giving Bad People Good Ideas,Death Grips
stanley2029,2,5D,Death Grips
stanley2029,3,80808,Death Grips
stanley2029,4,Anne Bonny,Death Grips
stanley2029,5,Artificial Death in the West,Death Grips
stanley2029,6,Bass Rattle Stars Out the Sky,Death Grips
stanley2029,7,BB Poison,Death Grips
stanley2029,8,Beware,Death Grips
stanley2029,9,Beyond Alive,Death Grips
stanley2029,10,Big Dipper,Death Grips
Crankeedoo,1,Love Minus Zero,Bob Dylan
Crankeedoo,2,Changing of the Guards,Bob Dylan
Crankeedoo,3,Jokerman,Bob Dylan
Crankeedoo,4,New Pony,Bob Dylan
Crankeedoo,5,Romance in Durango,Bob Dylan
Crankeedoo,6,Sara,Bob Dylan
Crankeedoo,7,You're Gonna Make Me Lonesome When You Go,Bob Dylan
Crankeedoo,8,Car Keys,Animal Collective
Crankeedoo,9,Cherokee,Animal Collective
Crankeedoo,10,Dragon Slayer,Animal Collective
owllover23,1,Bird,Billie Marten
owllover23,2,Cursive,Billie Marten
owllover23,3,La Lune,Billie Marten
owllover23,4,Fix You,Coldplay
owllover23,5,Plastic Bag,Ed Sheeran
owllover23,6,Break My Heart Again,FINNEAS
owllover23,7,a soulmate who wasn’t meant to be,Jess Benko
owllover23,8,Beautiful People Beautiful Problems (feat. Stevie Nicks),Lana Del Rey
owllover23,9,Say Yes to Heaven,Lana Del Rey
owllover23,10,Video Games,Lana Del Rey
tomcatha,1,The Chase,KARKARA
tomcatha,2,Beast Whip,Cobalt
tomcatha,3,Les lumières du soir,CRAN
tomcatha,4,Mort aux traitres,CRAN
tomcatha,5,Rejet,CRAN
tomcatha,6,ALL IS DUST,KARKARA
tomcatha,7,Anthropia,KARKARA
tomcatha,8,Monoliths,KARKARA
tomcatha,9,On Edge,KARKARA
tomcatha,10,Woodshed Blues,Young Acid
catherinekuhn,1,Cheat Codes,Danger Mouse
catherinekuhn,2,Sometimes,Danger Mouse
catherinekuhn,3,"Because (feat. Joey Bada$$, Russ, and Dylan Cartlidge)",Danger Mouse
catherinekuhn,4,Aquamarine (feat. Michael Kiwanuka),Danger Mouse
catherinekuhn,5,Belize (feat. MF DOOM),Danger Mouse
catherinekuhn,6,No Gold Teeth,Danger Mouse
catherinekuhn,7,The Darkest Part (feat. Raekwon and Kid Sister),Danger Mouse
catherinekuhn,8,Pink + White,Frank Ocean
catherinekuhn,9,HAZARD DUTY PAY!,JPEGMAFIA
catherinekuhn,10,"TIRED, NERVOUS & BROKE!",JPEGMAFIA
momoiro5648,1,Doll Parts,Hole
momoiro5648,2,Grace,Jeff Buckley
momoiro5648,3,"Lover, You Should've Come Over",Jeff Buckley
momoiro5648,4,Bottom,Tool
momoiro5648,5,Prison Sex,Tool
momoiro5648,6,Sober,Tool
momoiro5648,7,I Stay Away,Alice in Chains
momoiro5648,8,No Excuses,Alice in Chains
momoiro5648,9,Nutshell,Alice in Chains
momoiro5648,10,Rotten Apple,Alice in Chains
vikingfrog86,1,Affair of the Heart,Rick Springfield
vikingfrog86,2,I Could Be Good for You,707
vikingfrog86,3,born & raised,Beau Coup
vikingfrog86,4,Fear No More,Building 429
vikingfrog86,5,I Speak Jesus,Charity Gayle
