username,rank,track_name,artist
dealz71,10,Niagara Falls,The Weeknd
jazzykl,1,endless,Oklou
jazzykl,2,family and friends,Oklou
jazzykl,3,ict,Oklou
jazzykl,4,Obvious,Oklou
jazzykl,5,thank you for recording,Oklou
jazzykl,6,(;´༎ຶٹ༎ຶ`),Oklou
jazzykl,7,Blade Bird,Oklou
jazzykl,8,choke enough,Oklou
jazzykl,9,forces,Oklou
jazzykl,10,harvest sky,Oklou
boracanik,2,warm,Ariana Grande
boracanik,4,It's OK I'm OK,Tate McRae
boracanik,5,supernatural,Ariana Grande
boracanik,6,Hurricane,Bridgit Mendler
boracanik,7,Bambaşka,Madrigal
boracanik,8,Zor,Nova Norda
boracanik,9,Belki De Dönerim,Sertab Erener
boracanik,10,Dönmüyorsun,Sertab Erener
Atrvlrhasnoname,1,Skyfall,Adele
Atrvlrhasnoname,2,FUNK DO BOUNCE (Slowed),ariis
Atrvlrhasnoname,4,Happy Violence,Dada Life
Atrvlrhasnoname,5,M come Mussolini,danknote
Atrvlrhasnoname,6,"Bad, Bad Man (Feat. Bumpy Knuckles)",WWE
Atrvlrhasnoname,7,il vento d'oro,Yugo Kanno
Atrvlrhasnoname,8,Perfect (Exceeder),David Guetta
Atrvlrhasnoname,9,The Collapse,Adelitas Way
Atrvlrhasnoname,10,Breathe Again,Alter Bridge
stanley2029,1,SICKO - King Gizzard & The Lizard Wizard Remix,Confidence Man
stanley2029,2,Ambergris,King Gizzard & The Lizard Wizard
stanley2029,3,Antarctica,King Gizzard & The Lizard Wizard
stanley2029,4,Antarctica (Live in Toronto '24),King Gizzard & The Lizard Wizard
stanley2029,5,Blame It on the Weather,King Gizzard & The Lizard Wizard
stanley2029,6,Candles,King Gizzard & The Lizard Wizard
stanley2029,7,Converge (Live in Toronto '24),King Gizzard & The Lizard Wizard
stanley2029,8,Dragon (Live in Toronto '24),King Gizzard & The Lizard Wizard
stanley2029,9,Evilest Man,King Gizzard & The Lizard Wizard
stanley2029,10,Extinction (Live in Toronto '24),King Gizzard & The Lizard Wizard
Crankeedoo,1,I Dreamed I Saw St. Augustine,Bob Dylan
Crankeedoo,2,Absolutely Sweet Marie,Bob Dylan
Crankeedoo,3,What More Can I Say,Nina Simone
Crankeedoo,4,John Wesley Harding,Bob Dylan
Crankeedoo,5,Lilac Wine,Nina Simone
Crankeedoo,6,Wild Is The Wind,Nina Simone
Crankeedoo,7,Boy,Alex G
Crankeedoo,8,Gnaw,Alex G
Crankeedoo,9,Hope,Alex G
Crankeedoo,10,Trash,Alex G
owllover23,1,Feelin' Alive,Jonas Brothers
owllover23,2,Bluebird,Lana Del Rey
owllover23,3,Every Rule,Charli XCX
owllover23,4,Used to Know Me,Charli XCX
owllover23,5,Hard Times,Ethel Cain
owllover23,6,Full machine,Gracie Abrams
owllover23,7,Art Deco,Lana Del Rey
owllover23,8,Ultraviolence,Lana Del Rey
owllover23,9,thank you for recording,Oklou
owllover23,10,deja vu,Olivia Rodrigo
tomcatha,1,Ağlama Değmez Hayat,Barış Manço
tomcatha,2,Anadolu,Barış Manço
tomcatha,3,Ay Osman,Barış Manço
tomcatha,4,Bin Boğanın kızı,Barış Manço
tomcatha,5,Dağlar Dağlar,Barış Manço
tomcatha,6,Derule,Barış Manço
tomcatha,7,"İşte Hendek, İşte Deve",Barış Manço
tomcatha,8,Kağızman,Barış Manço
tomcatha,9,Katip Arzuhalim,Barış Manço
tomcatha,10,Kirpiklerin Ok Eyle,Barış Manço
catherinekuhn,1,Da Roc,Mike
catherinekuhn,2,Man In the Mirror,Mike
catherinekuhn,3,Blade Bird,Oklou
catherinekuhn,4,Expert in a Dying Field,The Beths
catherinekuhn,5,Party People,Vince Staples
catherinekuhn,6,Intro,Alex G
catherinekuhn,7,Nausicaä (Love Will Be Revealed),Cameron Winter
catherinekuhn,8,Hate Bein' Sober,Chief Keef
catherinekuhn,9,I Don't Like,Chief Keef
catherinekuhn,10,Desolation's Plan,Coma Cinema
momoiro5648,1,細菌汚染 - Bacterial Contamination -,mathru(KanimisoP)
momoiro5648,2,Omaha,Counting Crows
momoiro5648,3,Rain King,Counting Crows
momoiro5648,4,What Would You Say,Dave Matthews Band
momoiro5648,5,Back 2 Good,Matchbox Twenty
momoiro5648,6,Damn,Matchbox Twenty
momoiro5648,7,Hang,Matchbox Twenty
