username,track_name,artist,rank,playcount
dealz71,Can It Be All So Simple / Intermission,Wu-Tang Clan,1,5
dealz71,I USED TO,Leon Thomas; Baby Rose,2,3
dealz71,MUTT (REMIX),Leon Thomas; Freddie Gibbs,3,3
dealz71,Protect Ya Neck,Wu-Tang Clan,4,3
dealz71,Wu‐Tang Clan Ain't Nuthing ta F' Wit,Wu-Tang Clan,5,3
dealz71,The Caliphate feat. Vince Staples,Earl Sweatshirt,6,2
dealz71,tv off,Kendrick Lamar,7,2
dealz71,#RICHAXXHAITIAN,Mach-Hommy,8,2
dealz71,Niagara Falls,The Weeknd,9,2
dealz71,Timeless,The Weeknd,10,2
jazzykl,Celebrate,Heartworms,1,13
jazzykl,Extraordinary Wings,Heartworms,2,13
jazzykl,Glutton For Punishment,Heartworms,3,13
jazzykl,In The Beginning,Heartworms,4,13
jazzykl,Jacked,Heartworms,5,13
jazzykl,Just To Ask A Dance,Heartworms,6,13
jazzykl,Mad Catch,Heartworms,7,13
jazzykl,Smugglers Adventure,Heartworms,8,13
jazzykl,Warplane,Heartworms,9,13
jazzykl,Kimpton,Barry Can't Swim,10,9
boracanik,twilight zone,Ariana Grande,1,2
boracanik,warm,Ariana Grande,2,2
boracanik,Bambaşka,Madrigal,3,2
boracanik,Zor,Nova Norda,4,2
boracanik,Belki De Dönerim,Sertab Erener,5,2
boracanik,Kendime Çaylar,Adamlar,6,1
boracanik,TANTUNİ,Alizade,7,1
boracanik,supernatural,Ariana Grande,8,1
boracanik,Eastside (with Halsey & Khalid),Benny Blanco,9,1
boracanik,Arayan Bulur,Büyük Ev Ablukada,10,1
Atrvlrhasnoname,Skyfall,Adele,1,6
Atrvlrhasnoname,DtMF,Bad Bunny,2,5
Atrvlrhasnoname,Happy Violence,Dada Life,3,5
Atrvlrhasnoname,"Bad, Bad Man (Feat. Bumpy Knuckles)",WWE,4,4
Atrvlrhasnoname,FUNK DO BOUNCE (Slowed),ariis,5,3
Atrvlrhasnoname,il vento d'oro,Yugo Kanno,6,3
Atrvlrhasnoname,On My Way To Heaven - Original Mix,Above & Beyond,7,2
Atrvlrhasnoname,The Collapse,Adelitas Way,8,2
Atrvlrhasnoname,Home,Alter Bridge,9,2
Atrvlrhasnoname,I Won't See You Tonight Part 1,Avenged Sevenfold,10,2
stanley2029,REAL MOVE TOUCH - Fcukers Remix,Confidence Man,1,1
stanley2029,SICKO - King Gizzard & The Lizard Wizard Remix,Confidence Man,2,1
stanley2029,Adapter,HGich.T,3,1
stanley2029,Alien Stable I - Live,HGich.T,4,1
stanley2029,Das Schwert,HGich.T,5,1
stanley2029,der junge mit dem knüppel,HGich.T,6,1
stanley2029,Drei rosa Scheiße,HGich.T,7,1
stanley2029,Euphoria Superstar,HGich.T,8,1
stanley2029,Plastiktüte - Remix bei Schalkalwis,HGich.T,9,1
stanley2029,Schwarze Gitarre,HGich.T,10,1
Crankeedoo,I Dreamed I Saw St. Augustine,Bob Dylan,1,8
Crankeedoo,Absolutely Sweet Marie,Bob Dylan,2,4
Crankeedoo,Famous Blue Raincoat,Leonard Cohen,3,3
Crankeedoo,Just in Time (Live – Montreux Jazz Festival 1968),Nina Simone,4,3
Crankeedoo,Wild Is The Wind,Nina Simone,5,3
Crankeedoo,Boy,Alex G,6,2
Crankeedoo,Gnaw,Alex G,7,2
Crankeedoo,Hope,Alex G,8,2
Crankeedoo,Trash,Alex G,9,2
Crankeedoo,Bob Dylan's 115th Dream,Bob Dylan,10,2
owllover23,Feelin' Alive,Jonas Brothers,1,4
owllover23,Bluebird,Lana Del Rey,2,4
owllover23,Every Rule,Charli XCX,3,3
owllover23,Hard Times,Ethel Cain,4,3
owllover23,Full machine,Gracie Abrams,5,3
owllover23,Art Deco,Lana Del Rey,6,3
owllover23,thank you for recording,Oklou,7,3
owllover23,deja vu,Olivia Rodrigo,8,3
owllover23,Sugarboy,St. Vincent,9,3
owllover23,Spring,Angel Olsen,10,2
tomcatha,aliens,Alinah,1,1
tomcatha,crows crows crows crows,Alinah,2,1
tomcatha,life is my darling,Alinah,3,1
tomcatha,tsunami!,Alinah,4,1
tomcatha,Better Off Burning,Centurian,5,1
tomcatha,Blasphemy (Morbid Angel Cover),Centurian,6,1
tomcatha,Damnation for the Holy (Inquisitor cover),Centurian,7,1
tomcatha,God Got Killed,Centurian,8,1
tomcatha,Intro: Evoking Demonstorms - Hell At Last,Centurian,9,1
tomcatha,Of Purest Fire,Centurian,10,1
catherinekuhn,Ain't it Funny,Danny Brown,1,3
catherinekuhn,Dance Now (feat. Kenny Mason),JID,2,3
catherinekuhn,NEVER,JID,3,3
catherinekuhn,Da Roc,Mike,4,3
catherinekuhn,Man In the Mirror,Mike,5,3
catherinekuhn,Blade Bird,Oklou,6,3
catherinekuhn,Expert in a Dying Field,The Beths,7,3
catherinekuhn,Party People,Vince Staples,8,3
catherinekuhn,Intro,Alex G,9,2
catherinekuhn,Nausicaä (Love Will Be Revealed),Cameron Winter,10,2
momoiro5648,Cemetery Drive,My Chemical Romance,1,3
momoiro5648,The Boy Is Mine,Brandy,2,2
momoiro5648,Mr. Jones,Counting Crows,3,2
momoiro5648,Omaha,Counting Crows,4,2
momoiro5648,Rain King,Counting Crows,5,2
momoiro5648,Round Here,Counting Crows,6,2
momoiro5648,What Would You Say,Dave Matthews Band,7,2
momoiro5648,Hey Jealousy,Gin Blossoms,8,2
momoiro5648,Back 2 Good,Matchbox Twenty,9,2
momoiro5648,Damn,Matchbox Twenty,10,2
vikingfrog86,Layin' It on the Line,Jefferson Starship,1,3
vikingfrog86,The Hard Way,John Waite,2,3
vikingfrog86,If Only,Triumph,3,3
vikingfrog86,I Could Be Good for You,707,4,2
vikingfrog86,I'm Not Gonna Let It Bother Me Tonight,Atlanta Rhythm Section,5,2
vikingfrog86,Double Shot Of My Baby's Love,Better Than Ezra,6,2
vikingfrog86,Rosealia,Better Than Ezra,7,2
vikingfrog86,Will It Go Round In Circles - Single Version,Billy Preston,8,2
vikingfrog86,Tell Me Everything,Cheap Trick,9,2
vikingfrog86,Burning Bridges,Collective Soul,10,2
newman75,Mana God,Make Them Suffer,1,4
newman75,Brand New,The Underachievers,2,4
newman75,Talking in Your Sleep,Acres,3,3
newman75,Fear and Hunger,Dal Av,4,3
newman75,Temperature,MILK.,5,3
newman75,Panic,Movements,6,3
newman75,Me,The 1975,7,3
newman75,Robbers,The 1975,8,3
newman75,TEARGAS,The Dali Thundering Concept,9,3
newman75,Losing Feathers,The Underachievers,10,3
HeadfulOfHaze,Pancake,Tori Amos,1,3
HeadfulOfHaze,Amethyst,Marta Del Grandi,2,2
HeadfulOfHaze,Birdsong,Marta Del Grandi,3,2
HeadfulOfHaze,Lullaby Firefly,Marta Del Grandi,4,2
HeadfulOfHaze,Shy Heart,Marta Del Grandi,5,2
HeadfulOfHaze,Somebody New,Marta Del Grandi,6,2
HeadfulOfHaze,Swim To Me,Marta Del Grandi,7,2
HeadfulOfHaze,Taller Than His Shadow,Marta Del Grandi,8,2
HeadfulOfHaze,Totally Fine,Marta Del Grandi,9,2
HeadfulOfHaze,The Outsider,A Perfect Circle,10,1
chefcarlitos,KNOW ABOUT ME,NMIXX,1,6
chefcarlitos,HOT,LE SSERAFIM,2,5
chefcarlitos,The Chase,Hearts2Hearts,3,4
chefcarlitos,CUNTISSIMO,Marina,4,4
chefcarlitos,BEBE,STAYC,5,4
chefcarlitos,Imaginary Friend,ITZY,6,3
chefcarlitos,해야 (HEYA),IVE,7,3
chefcarlitos,CRAZY,LE SSERAFIM,8,3
chefcarlitos,AIR,Yeji,9,3
chefcarlitos,Virtual Angel,ARTMS,10,2
ford-fiesta,Portofino 2,Raymond Scott,1,8
ford-fiesta,Brain Stew,Green Day,2,4
ford-fiesta,Hate the Player,Callahan & Witscher,3,2
ford-fiesta,Won't Let You Go,Callahan & Witscher,4,2
ford-fiesta,"Sick, Sick, Sick",Queens of the Stone Age,5,2
ford-fiesta,Turnin' on the Screw,Queens of the Stone Age,6,2
ford-fiesta,6/1,Shame,7,2
ford-fiesta,Reptilia,The Strokes,8,2
ford-fiesta,Strange Loop,AK/DK,9,1
ford-fiesta,College,Animal Collective,10,1
Paralytikus,Infanticide,Glossectomy,1,15
Paralytikus,intro,Glossectomy,2,15
Paralytikus,Self Mangled Malfomation,Glossectomy,3,15
Paralytikus,Behold The Stuck Limbs,Glossectomy,4,14
Paralytikus,Impediments From Dysplasia,Glossectomy,5,14
Paralytikus,Meningorrahgia,Glossectomy,6,14
Paralytikus,Tributes and Oblivions,Plebeian Grandstand,7,9
Paralytikus,Low Empire,Plebeian Grandstand,8,8
Paralytikus,Oracle of Reversion,Fossilization,9,7
Paralytikus,Eros Culture,Plebeian Grandstand,10,7
Baghdadoverbomb,String Quartet No. 5: —,Kronos Quartet,1,5
Baghdadoverbomb,String Quartet No. 2 (Company): —,Kronos Quartet,2,4
Baghdadoverbomb,I Want to Take You Higher,Sly & The Family Stone,3,4
Baghdadoverbomb,String Quartet No. 4 (Buczak): —,Kronos Quartet,4,3
Baghdadoverbomb,Stand!,Sly & The Family Stone,5,3
Baghdadoverbomb,You Can Make It If You Try,Sly & The Family Stone,6,3
Baghdadoverbomb,Tenshi no Chime,Coco,7,2
Baghdadoverbomb,Part 2],h3Lp [Happy's Humble Burger Farm,8,2
Baghdadoverbomb,Bruises,Skindred,9,2
Baghdadoverbomb,The Venerable Uncle Tompa,Sun City Girls,10,2
modriskalnins,PUERTA,Juana Rozas,1,5
modriskalnins,Baller,Abor & Tynna,2,4
modriskalnins,You and I,Alice Phoebe Lou,3,4
modriskalnins,BUENÍSIMO,Juana Rozas,4,4
modriskalnins,..THUS IS WHY ( I DON’T SPRING 4 LOVE ),Saya Gray,5,4
modriskalnins,bloodonmyhands (feat. Flo Milli),Tate McRae,6,4
modriskalnins,Like I do,Tate McRae,7,4
modriskalnins,Evangelic Girl is a Gun,yeule,8,4
modriskalnins,Bailing On Me,Amyl and the Sniffers,9,3
modriskalnins,It's Mine,Amyl and the Sniffers,10,3
levialthan,REGULAR,BLORG,1,3
levialthan,Arc de Triomphe,Aminé,2,2
levialthan,Monster,Lady Gaga,3,2
levialthan,So Happy I Could Die,Lady Gaga,4,2
levialthan,Teeth,Lady Gaga,5,2
levialthan,Beating Down Yo Block,Monaleo,6,2
levialthan,In Da Club,50 Cent,7,1
levialthan,Charmander,Aminé,8,1
levialthan,Colors,Aminé,9,1
levialthan,Compensating (feat. Young Thug),Aminé,10,1
ker0senedream,under the knife,Thornhill,1,9
ker0senedream,CRUSH,Thornhill,2,8
ker0senedream,Doubt (Demo),twenty one pilots,3,8
ker0senedream,Only Ever You,Thornhill,4,6
ker0senedream,If Only,Void of Vision,5,6
ker0senedream,RATS IN THE WALLS,Deadskin,6,5
ker0senedream,Cure,ERRA,7,5
ker0senedream,The Remedy,Polaris,8,5
ker0senedream,My Worst Intervention Wasn't My Own,Rasura,9,5
ker0senedream,For the Recognition,Tallah,10,5
changyun,What Was That,Lorde,1,6
changyun,Headphones On,Addison Rae,2,5
changyun,SMH,Jae Stephens,3,4
changyun,The Louvre,Lorde,4,4
changyun,Besties,"Black Country, New Road",5,3
changyun,So Hot You're Hurting My Feelings,Caroline Polachek,6,3
changyun,Dreams - 2004 Remaster,Fleetwood Mac,7,3
changyun,Silver Springs - 2004 Remaster,Fleetwood Mac,8,3
changyun,TURN UP OR DIE,Jane Remover,9,3
changyun,Oceans & Engines,Niki,10,3
Katiefayce,bad friend,Sad Alex,1,7
Katiefayce,smiling at ur text,Sad Alex,2,6
Katiefayce,Immolation of Night,Invent Animate,3,4
Katiefayce,NFWMB,Hozier,4,3
Katiefayce,Work Song,Hozier,5,3
Katiefayce,Absence Persistent,Invent Animate,6,3
Katiefayce,Purity Weeps,Invent Animate,7,3
Katiefayce,Reverie,Invent Animate,8,3
Katiefayce,Without a Whisper,Invent Animate,9,3
Katiefayce,swimming pools,Sad Alex,10,3
maiconslavieiro,You,Majid Jordan,1,3
maiconslavieiro,High,Tory Lanez,2,3
maiconslavieiro,Listen,11:11,3,2
maiconslavieiro,Ultimatum,Always Never,4,2
maiconslavieiro,NO HALO,BROCKHAMPTON,5,2
maiconslavieiro,Rewind,G-Eazy,6,2
maiconslavieiro,Unwind,Healy,7,2
maiconslavieiro,All the Time,Jeremih,8,2
maiconslavieiro,Cruel Intentions,JMSN,9,2
maiconslavieiro,Better,Khalid,10,2
Hamadsversion,Experimental skin,Jane Remover,1,30
Hamadsversion,Psychoboost feat danny brown,Jane Remover,2,25
Hamadsversion,TURN UP OR DIE,Jane Remover,3,24
Hamadsversion,Dancing with your eyes closed,Jane Remover,4,23
Hamadsversion,Professional Vengeance,Jane Remover,5,23
Hamadsversion,TWICE REMOVED,Jane Remover,6,21
Hamadsversion,Dreamflasher,Jane Remover,7,20
Hamadsversion,Fadeoutz,Jane Remover,8,20
Hamadsversion,JRJRJR,Jane Remover,9,19
Hamadsversion,Star people,Jane Remover,10,19
lunariarex,FIGHT ME,Xdinary Heroes,1,9
lunariarex,Beautiful Life,Xdinary Heroes,2,8
lunariarex,Diamond,Xdinary Heroes,3,8
